gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,R_score,F_score,M_score,RFM_score,CLV_proxy,rfm_cluster,cluster_churn_rate,risk_adjusted_clv,customerID,actual_churn,predicted_churn,churn_probability
Female,0,No,No,15,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),84.35,1302.65,1,2,4,124,1302.65,1,0.4363419007770472,734.2492229527794,5609-IMCGG,0,1,0.6309580583729127
Male,0,Yes,No,59,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.3,2666.75,1,4,2,142,2666.75,2,0.04139715394566624,2556.3541397153945,2478-EEWWM,0,1,0.6295494481705763
Female,1,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,106.25,6979.8,3,5,5,355,6979.8,0,0.1603905160390516,5860.306276150627,7067-KSAZT,1,1,0.6273830350135919
Male,0,No,Yes,22,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.4,2001.5,1,3,4,134,2001.5,1,0.4363419007770472,1128.16168559474,1902-XBTFB,1,1,0.6271217717241219
Male,0,Yes,Yes,49,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,97.95,4917.9,3,4,5,345,4917.9,0,0.1603905160390516,4129.115481171548,6559-RAKOZ,0,1,0.6252207271987306
Male,0,Yes,Yes,53,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,105.25,5576.3,3,4,5,345,5576.3,0,0.1603905160390516,4681.914365411437,3567-PQTSO,0,1,0.6244611919671523
Female,1,Yes,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),50.15,115.1,1,1,2,112,115.1,1,0.4363419007770472,64.87704722056186,7579-OOPEC,1,1,0.6242669187739512
Male,0,No,No,30,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),94.3,2679.7,1,3,5,135,2679.7,1,0.4363419007770472,1510.4346084877463,0730-KOAVE,0,1,0.6238819296251967
Female,0,No,No,15,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,86.2,1270.2,1,2,4,124,1270.2,1,0.4363419007770472,715.9585176329946,3540-RZJYU,1,1,0.6237307448980033
Male,0,No,No,10,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),72.15,794.25,1,2,3,123,794.25,1,0.4363419007770472,447.6854453078302,6331-LWDTQ,1,1,0.6219089472205185
Male,0,No,No,35,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,83.15,2848.45,1,3,4,134,2848.45,1,0.4363419007770472,1605.5519127316197,9450-TRJUU,0,1,0.6204288433909785
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,21.0,21.0,1,1,1,111,21.0,1,0.4363419007770472,11.836820083682007,6770-XUAGN,1,1,0.6202875484040091
Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,1,3,4,134,1949.4,1,0.4363419007770472,1098.795098625224,1452-KIOVK,0,1,0.6200843867455826
Female,1,No,No,37,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),106.75,4056.75,1,3,5,135,4056.75,0,0.1603905160390516,3406.0857740585775,9710-ZUSHQ,1,1,0.618622071683973
Male,0,Yes,Yes,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.75,48.75,1,1,2,112,48.75,1,0.4363419007770472,27.478332337118946,5207-PLSTK,0,1,0.617594696451972
Female,1,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),103.75,4188.4,3,4,5,345,4188.4,0,0.1603905160390516,3516.620362622036,7251-LJBQN,0,1,0.6172911177735544
Female,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.2,103.7,1,1,2,112,103.7,1,0.4363419007770472,58.4513448894202,8805-JNRAZ,0,1,0.61683739874774
Male,0,Yes,No,56,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,100.55,5514.95,3,4,5,345,5514.95,0,0.1603905160390516,4630.404323570432,2924-KHUVI,0,1,0.6164144287690111
Male,0,No,No,38,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),70.45,2597.6,3,3,3,333,2597.6,2,0.04139715394566624,2490.0667529107373,9565-JSNFM,1,1,0.6150376885114984
Male,1,No,No,36,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.85,3186.7,1,3,4,134,3186.7,1,0.4363419007770472,1796.2092647937834,5281-BUZGT,1,1,0.6150012276486765
Female,1,No,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,111.95,6418.9,3,4,5,345,6418.9,0,0.1603905160390516,5389.369316596931,6664-FPDAC,1,1,0.614606757077515
Female,0,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.6,35.85,1,1,1,111,35.85,1,0.4363419007770472,20.207142857142856,7854-EKTJL,1,1,0.6135692004713003
Female,1,No,No,57,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.0,3094.05,1,4,2,142,3094.05,2,0.04139715394566624,2965.9651358344117,7733-UDMTP,0,1,0.6133454026267803
Female,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.75,25.75,1,1,2,112,25.75,1,0.4363419007770472,14.514196054991032,2692-PFYTJ,0,1,0.6119226176798436
Male,1,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.25,5427.05,1,4,5,145,5427.05,0,0.1603905160390516,4556.602649930265,3207-OYBWH,1,1,0.6118794420316971
Male,0,No,No,41,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,74.25,3089.1,1,4,3,143,3089.1,0,0.1603905160390516,2593.6376569037657,8728-SKJLR,0,1,0.61177213568245
Female,0,Yes,No,20,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,96.55,1901.65,1,2,5,125,1901.65,1,0.4363419007770472,1071.880424387328,2604-IJPDU,0,1,0.6103440438269354
Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,84.25,1968.1,1,3,4,134,1968.1,1,0.4363419007770472,1109.3355050806933,5016-IBERQ,0,1,0.6095737447779174
Female,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.7,5138.1,1,4,5,145,5138.1,0,0.1603905160390516,4313.997489539749,4983-CLMLV,0,1,0.6089412136835498
Male,0,Yes,Yes,61,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,99.9,6241.35,3,5,5,355,6241.35,0,0.1603905160390516,5240.296652719665,4937-QPZPO,0,1,0.6085164114102123
Male,0,Yes,No,56,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,107.25,6033.3,3,4,5,345,6033.3,0,0.1603905160390516,5065.61589958159,6815-ABQFQ,0,1,0.607620938471342
Female,0,Yes,No,56,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,98.0,5270.6,3,4,5,345,5270.6,0,0.1603905160390516,4425.2457461645745,6284-KMNUF,0,1,0.6067097367181996
Male,0,No,No,48,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,95.4,4445.3,1,4,5,145,4445.3,0,0.1603905160390516,3732.316039051604,4724-WXVWF,0,1,0.6057190270791759
Male,1,Yes,No,16,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.3,1178.25,1,2,3,123,1178.25,1,0.4363419007770472,664.1301554094441,7503-QQRVF,1,1,0.6053232631231721
Female,0,Yes,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.3,1702.9,1,3,3,133,1702.9,1,0.4363419007770472,959.8533771667662,5934-TSSAU,0,1,0.6051064214018331
Male,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,74.15,1387.0,1,2,3,123,1387.0,1,0.4363419007770472,781.7937836222354,3094-JOJAI,0,1,0.6019375713931572
Female,0,No,Yes,1,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,59.2,59.2,1,1,3,113,59.2,1,0.4363419007770472,33.3685594739988,3891-PUQOD,1,1,0.6013642761533672
Female,0,No,No,33,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.4,2406.1,1,3,3,133,2406.1,1,0.4363419007770472,1356.2177525403465,4067-HLYQI,0,1,0.601017963685951
Female,0,No,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.95,45.95,1,1,2,112,45.95,1,0.4363419007770472,25.90008965929468,5103-MHMHY,1,1,0.6009631568060503
Female,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,98.75,4533.7,1,4,5,145,4533.7,0,0.1603905160390516,3806.5375174337514,6845-RGTYS,1,1,0.6008943733736292
Female,1,No,No,35,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.55,2419.0,1,3,3,133,2419.0,1,0.4363419007770472,1363.4889420203226,9112-WSNPU,0,1,0.6000146081251629
Male,0,No,No,41,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,51.35,2075.1,3,4,2,342,2075.1,2,0.04139715394566624,1989.196765847348,8190-ZTQFB,0,1,0.599385830423091
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.3,19.3,1,1,1,111,19.3,1,0.4363419007770472,10.878601315002989,4667-OHGKG,1,1,0.5993070275870281
Female,0,No,No,54,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,111.1,6014.85,1,4,5,145,6014.85,0,0.1603905160390516,5050.125104602511,9079-YEXQJ,1,1,0.5988834288820143
Male,0,No,No,20,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),108.2,2203.7,1,3,5,135,2203.7,1,0.4363419007770472,1242.133353257621,4329-YPDDQ,0,1,0.5984646630683007
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.9,19.9,1,1,1,111,19.9,1,0.4363419007770472,11.216796174536759,2369-FEVNO,0,1,0.5966562748497927
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.1,20.1,1,1,1,111,20.1,1,0.4363419007770472,11.32952779438135,1240-KNSEZ,1,1,0.5957714265924948
Male,0,No,Yes,5,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),48.65,235.2,1,1,2,112,235.2,1,0.4363419007770472,132.57238493723847,4468-YDOVK,0,1,0.5956578000284399
Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.5,6822.15,1,5,5,155,6822.15,0,0.1603905160390516,5727.9418410041835,1587-FKLZB,1,1,0.5956400281725933
Female,0,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,109.8,3587.25,1,3,5,135,3587.25,0,0.1603905160390516,3011.889121338912,3331-HQDTW,1,1,0.5955694149801983
Female,1,Yes,No,24,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),40.65,933.3,1,3,2,132,933.3,1,0.4363419007770472,526.0621040047818,9381-NDKME,1,1,0.5946894863247448
Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),100.75,5985.0,3,4,5,345,5985.0,0,0.1603905160390516,5025.062761506276,2293-IJWPS,0,1,0.594655616062242
Female,0,No,No,22,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.05,1886.25,1,3,4,134,1886.25,1,0.4363419007770472,1063.2000896592947,7277-OZCGZ,0,1,0.5942451583681242
Male,1,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.05,770.6,1,2,2,122,770.6,1,0.4363419007770472,434.3549312612074,4690-LLKUA,1,1,0.5940412709340976
Male,0,Yes,Yes,9,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.95,248.95,1,2,2,122,248.95,1,0.4363419007770472,140.32268380155406,6543-CPZMK,1,1,0.5930745616219897
Female,1,No,No,26,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,66.05,1652.4,1,3,3,133,1652.4,1,0.4363419007770472,931.3886431560071,8623-ULFNQ,0,1,0.5924276316253734
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.2,20.2,1,1,1,111,20.2,1,0.4363419007770472,11.385893604303645,1493-AMTIE,1,1,0.5920473657833561
Male,0,Yes,No,31,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,93.8,3019.5,1,3,4,134,3019.5,1,0.4363419007770472,1701.9656306037057,8914-RBTSB,1,1,0.5897752984120832
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.55,20.55,1,1,1,111,20.55,1,0.4363419007770472,11.58317393903168,7893-IXHRQ,1,1,0.5889789642971508
Female,0,Yes,No,40,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),78.85,3126.85,1,4,3,143,3126.85,0,0.1603905160390516,2625.3329149232914,2190-BCXEC,0,1,0.5889679663494098
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.55,19.55,1,1,1,111,19.55,1,0.4363419007770472,11.019515839808726,1622-HSHSF,0,1,0.5887629029154635
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.85,18.85,1,1,1,111,18.85,1,0.4363419007770472,10.62495517035266,8992-CEUEN,0,1,0.5870678721268091
Male,1,Yes,No,37,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),72.25,2575.45,1,3,3,133,2575.45,1,0.4363419007770472,1451.6732516437535,9819-FBNSV,0,1,0.5864197264080114
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.75,19.75,1,1,1,111,19.75,1,0.4363419007770472,11.132247459653316,7853-WNZSY,0,1,0.5847606310026129
Male,0,Yes,Yes,21,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,26.05,565.75,1,3,2,132,565.75,1,0.4363419007770472,318.8895696353855,3787-TRIAL,0,1,0.5844918183823953
Female,0,Yes,Yes,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,50.45,50.45,1,1,2,112,50.45,1,0.4363419007770472,28.436551105797967,7250-EQKIY,1,1,0.5844771276528143
Female,0,Yes,Yes,16,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),100.7,1522.7,1,2,5,125,1522.7,1,0.4363419007770472,858.2821876867902,0265-PSUAE,0,1,0.5843572408109127
Male,1,Yes,No,65,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,100.75,6674.65,3,5,5,355,6674.65,0,0.1603905160390516,5604.099442119944,3756-VNWDH,0,1,0.5828123562213611
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.2,20.2,1,1,1,111,20.2,1,0.4363419007770472,11.385893604303645,2955-PSXOE,1,1,0.5825633189058675
Female,0,No,No,4,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,55.2,220.65,1,1,2,112,220.65,1,0.4363419007770472,124.37115959354452,1575-KRZZE,0,1,0.5824270088786823
Female,1,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.2,340.35,1,2,2,122,340.35,1,0.4363419007770472,191.84103407053198,0015-UOCOJ,0,1,0.5793798729100335
Female,0,No,Yes,5,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,51.0,286.8,1,1,2,112,286.8,1,0.4363419007770472,161.65714285714284,4256-ZWTZI,0,1,0.5790788236438027
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.7,20.7,1,1,1,111,20.7,1,0.4363419007770472,11.66772265391512,8620-RJPZN,0,1,0.5788023610720362
Female,0,No,No,13,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,78.75,995.35,1,2,3,123,995.35,1,0.4363419007770472,561.037089061566,2971-SGAFL,0,1,0.5785237999994589
Female,1,No,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),80.7,1614.2,1,3,4,134,1614.2,1,0.4363419007770472,909.8569037656903,6729-GDNGC,0,1,0.5780551361170473
Female,0,No,No,4,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),50.7,151.3,1,1,2,112,151.3,1,0.4363419007770472,85.28147041243275,2108-YKQTY,1,1,0.5776428976027432
Male,0,No,Yes,4,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,49.35,219.65,1,1,2,112,219.65,1,0.4363419007770472,123.80750149432157,2391-SOORI,1,1,0.5772407067434572
Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.45,42.45,1,1,1,111,42.45,1,0.4363419007770472,23.927286312014346,3594-IVHJZ,0,1,0.5745770934404856
Female,1,Yes,No,58,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),97.8,5458.8,3,4,5,345,5458.8,0,0.1603905160390516,4583.260251046025,2480-EJWYP,0,1,0.5744898087067168
Male,0,No,No,42,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,99.0,4298.45,3,4,5,345,4298.45,0,0.1603905160390516,3609.019386331938,0959-WHOKV,0,1,0.5743810265000371
Male,0,No,No,46,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.15,4245.55,1,4,4,144,4245.55,0,0.1603905160390516,3564.6040446304046,5575-TPIZQ,0,1,0.5723951367844303
Male,0,Yes,Yes,2,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,56.7,113.55,1,1,2,112,113.55,1,0.4363419007770472,64.00337716676628,8450-JOVAH,1,1,0.5721588528707988
Female,0,No,No,11,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,58.95,601.6,1,2,3,123,601.6,1,0.4363419007770472,339.09671249252835,2782-LFZVW,0,1,0.5715706314775097
Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,4,5,145,5238.9,0,0.1603905160390516,4398.630125523012,0486-HECZI,1,1,0.5715378690482419
Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,55.25,1,1,1,111,55.25,1,0.4363419007770472,31.14210998206814,6184-DYUOB,0,1,0.5711917393178826
Female,0,No,No,15,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.8,720.1,1,2,2,122,720.1,1,0.4363419007770472,405.8901972504483,7876-BEUTG,0,1,0.5711118442944527
Male,0,No,No,6,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),30.5,208.7,1,2,2,122,208.7,1,0.4363419007770472,117.63544530783022,2606-RMDHZ,1,1,0.5699148332544784
Female,1,Yes,No,62,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,104.85,6312.9,3,5,5,355,6312.9,0,0.1603905160390516,5300.370711297071,0471-ARVMX,0,1,0.5684693152562365
Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,59.75,1,1,1,111,59.75,1,0.4363419007770472,33.67857142857142,1087-UDSIH,1,1,0.5681689341208561
Female,1,Yes,No,54,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.1,5437.1,3,4,5,345,5437.1,0,0.1603905160390516,4565.040725244073,1360-JYXKQ,0,1,0.5672980482340929
Male,1,Yes,No,46,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),59.9,2816.65,3,4,3,343,2816.65,2,0.04139715394566624,2700.048706338939,4785-QRJHC,1,1,0.5661318425820231
Male,0,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,1,1,2,112,179.35,1,0.4363419007770472,101.09208009563658,0742-MOABM,1,1,0.565403104038871
Male,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,24.85,62.0,1,1,1,111,62.0,1,0.4363419007770472,34.94680215182307,8713-IGZSO,0,1,0.5641142841010216
Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.55,61.05,1,1,1,111,61.05,1,0.4363419007770472,34.411326957561265,4693-VWVBO,0,1,0.5635176810099742
Male,0,Yes,No,60,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,94.4,5610.25,3,4,5,345,5610.25,0,0.1603905160390516,4710.419107391911,6270-OMFIW,1,1,0.5632552284257727
Female,0,No,No,24,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,84.35,1938.05,1,3,4,134,1938.05,1,0.4363419007770472,1092.3975791990435,3569-EDBPQ,0,1,0.5627555743109572
Female,0,No,Yes,5,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,46.0,221.7,1,1,2,112,221.7,1,0.4363419007770472,124.96300059772861,1809-DMJHQ,1,1,0.5602178360647456
Male,1,Yes,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),100.55,4304.0,3,4,5,345,4304.0,0,0.1603905160390516,3613.6792189679218,1217-VASWC,0,1,0.5599648176994596
Male,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.75,67.1,1,1,1,111,67.1,1,0.4363419007770472,37.821458457860125,0463-WZZKO,0,1,0.5598264238263616
Female,0,Yes,No,31,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),83.85,2674.15,1,3,4,134,2674.15,1,0.4363419007770472,1507.3063060370591,0410-IPFTY,0,1,0.5545874533274747
Male,0,No,No,38,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),69.5,2625.25,1,3,3,133,2625.25,1,0.4363419007770472,1479.7434249850567,9767-FFLEM,0,1,0.554502527670368
Female,0,No,No,36,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,87.55,3078.1,1,3,4,134,3078.1,1,0.4363419007770472,1734.9959952181707,6711-VTNRE,1,1,0.552721534837589
Male,0,Yes,Yes,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,7007.6,1,5,5,155,7007.6,0,0.1603905160390516,5883.647419804742,0979-PHULV,1,1,0.552528158660001
Male,0,No,No,37,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,91.15,3369.25,1,3,4,134,3369.25,0,0.1603905160390516,2828.8542538354254,9576-SYUHJ,0,1,0.545569451486017
Male,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),95.65,5088.4,1,4,5,145,5088.4,0,0.1603905160390516,4272.26889818689,2279-AXJJK,0,1,0.5448552247446651
Male,0,No,No,11,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,35.65,425.1,1,2,2,122,425.1,1,0.4363419007770472,239.6110579796772,8158-WPEZG,0,1,0.5446880211698655
Female,0,No,No,41,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,106.5,4282.4,1,4,5,145,4282.4,0,0.1603905160390516,3595.543654114365,9822-WMWVG,0,1,0.5435448395849343
Male,0,No,No,32,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.15,3432.9,1,3,5,135,3432.9,0,0.1603905160390516,2882.29539748954,0363-QJVFX,1,1,0.5435020418348194
Male,0,No,No,26,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),92.4,2349.8,1,3,4,134,2349.8,1,0.4363419007770472,1324.4838015540945,3466-RITXD,0,1,0.5418718497385123
Male,0,No,No,54,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),89.4,4869.5,1,4,4,144,4869.5,0,0.1603905160390516,4088.478382147838,5136-GFPMB,0,1,0.5416612996755106
Male,0,No,No,26,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,84.3,2281.6,1,3,4,134,2281.6,1,0.4363419007770472,1286.0423191870889,4993-JCRGJ,0,1,0.5406047808391076
Female,1,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.6,2656.5,1,3,4,134,2656.5,1,0.4363419007770472,1497.3577405857739,9369-XFEHK,1,1,0.5378030287941588
